bin valid fake clones missed
106.2 1 8 0 0
106.3 0 8 0 0
106.4 0 6 0 0
106.5 0 7 0 0
106.6 0 0 0 1
106.7 0 8 0 0
106.8 0 11 0 0
106.9 0 6 0 0
107 0 2 0 0
107.1 0 2 0 0
107.2 0 4 0 0
107.3 0 4 0 0
107.4 0 9 0 0
107.5 0 3 0 0
107.6 0 9 0 0
107.7 0 2 0 0
107.8 1 2 0 0
107.9 0 6 0 0
108 0 4 0 0
108.1 0 7 0 0
108.2 0 9 0 0
108.3 0 3 0 0
108.4 0 6 0 0
108.5 0 10 0 0
108.6 1 8 0 0
108.7 0 5 0 0
108.8 0 5 0 0
108.9 0 7 0 0
109 0 7 0 0
109.1 0 5 0 0
109.2 0 6 0 0
109.3 0 2 0 0
109.4 1 2 0 0
109.5 0 7 0 0
109.6 0 3 0 0
109.7 0 3 0 0
109.8 0 8 0 0
109.9 0 9 0 0
110 0 4 0 0
110.1 1 5 0 0
110.2 0 11 0 0
110.3 1 1 0 0
110.4 0 3 0 0
110.5 0 6 0 0
110.6 0 1 0 0
110.7 0 6 0 0
110.8 0 4 0 0
110.9 0 5 0 0
111 0 4 0 0
111.1 0 2 0 1
111.2 0 2 0 0
111.3 0 7 0 0
111.4 0 2 0 0
111.5 0 4 0 0
111.6 1 2 1 0
111.7 0 2 0 0
111.8 0 6 0 0
111.9 0 5 0 1
112 0 7 0 0
112.1 0 6 0 0
112.2 0 10 0 0
112.3 0 5 0 0
112.4 0 6 0 0
112.5 0 3 0 0
112.6 0 8 0 0
112.7 0 5 0 0
112.8 0 2 0 0
112.9 0 3 0 0
113 0 6 0 0
113.1 0 4 0 0
113.2 0 1 0 0
113.3 0 6 0 0
113.4 0 3 0 0
113.5 0 3 0 0
113.6 0 6 0 0
113.7 0 1 0 0
113.8 0 11 0 0
113.9 0 1 0 0
114 0 5 0 0
114.1 0 3 0 0
114.2 0 2 0 0
114.3 0 9 0 0
114.4 0 4 0 1
114.5 0 5 0 0
114.6 0 3 0 0
114.7 0 5 0 0
114.8 0 7 0 0
114.9 0 6 0 0
115 0 12 0 0
115.1 0 5 0 0
115.2 0 5 0 0
115.3 0 7 0 0
115.4 0 1 0 0
115.5 0 4 0 0
115.6 0 2 0 0
115.7 0 4 0 0
115.8 1 3 0 0
115.9 0 2 1 0
116 0 5 0 0
116.1 0 2 0 0
116.2 0 4 0 0
116.3 0 3 0 0
116.5 0 3 0 0
116.6 0 4 0 0
116.7 0 1 0 0
116.8 0 3 0 0
116.9 0 5 0 0
117 0 5 0 0
117.1 0 6 2 0
117.2 0 5 0 0
117.3 0 2 2 1
117.4 0 13 0 0
117.5 0 9 0 0
117.7 0 4 0 0
117.8 0 6 0 0
